sequence_id,group,topic,slug,material_path,comptia_area,route_id,app_module,practice_action,content_status,source_status
CS-001,Intro,Intro,intro,materials/course-sequence/intro.md,Core 2 expansion placeholder,MAP-006,symptoms,Match Safe Checks,source-backed draft,source links added
CS-002,Hardware sequence,Cable types,cable-types,materials/course-sequence/cable-types.md,Hardware,MAP-001,drag,Start Connector Match,source-backed draft,source links added
CS-003,Hardware sequence,Motherboards,motherboards,materials/course-sequence/motherboards.md,Hardware,MAP-001,drag,Start Connector Match,source-backed draft,source links added
CS-004,Hardware sequence,Cooling and power,cooling-and-power,materials/course-sequence/cooling-and-power.md,Hardware,MAP-001,drag,Start Connector Match,source-backed draft,source links added
CS-005,Hardware sequence,System memory,system-memory,materials/course-sequence/system-memory.md,Hardware,MAP-001,drag,Start Connector Match,source-backed draft,source links added
CS-006,Hardware sequence,BIOS/UEFI,bios-uefi,materials/course-sequence/bios-uefi.md,Hardware,MAP-001,drag,Start Connector Match,source-backed draft,source links added
CS-007,Hardware sequence,Storage device,storage-device,materials/course-sequence/storage-device.md,Hardware,MAP-001,drag,Start Connector Match,source-backed draft,source links added
CS-008,Virtualization and cloud sequence,Virtualization concepts,virtualization-concepts,materials/course-sequence/virtualization-concepts.md,Virtualization and Cloud Computing,MAP-003,flash,Review Visual Cards,source-backed draft,source links added
CS-009,Virtualization and cloud sequence,Cloud computing,cloud-computing,materials/course-sequence/cloud-computing.md,Virtualization and Cloud Computing,MAP-003,flash,Review Visual Cards,source-backed draft,source links added
CS-010,Networking sequence,Networking basics,networking-basics,materials/course-sequence/networking-basics.md,Networking,MAP-002,topology,Trace Network Path,source-backed draft,source links added
CS-011,Networking sequence,Wireless networks,wireless-networks,materials/course-sequence/wireless-networks.md,Networking,MAP-002,topology,Trace Network Path,source-backed draft,source links added
CS-012,Networking sequence,Internet connections,internet-connections,materials/course-sequence/internet-connections.md,Networking,MAP-002,topology,Trace Network Path,source-backed draft,source links added
CS-013,Networking sequence,Network addressing and communication,network-addressing-and-communication,materials/course-sequence/network-addressing-and-communication.md,Networking,MAP-002,topology,Trace Network Path,source-backed draft,source links added
CS-014,Networking sequence,Network configurations,network-configurations,materials/course-sequence/network-configurations.md,Networking,MAP-002,topology,Trace Network Path,source-backed draft,source links added
CS-015,Networking sequence,Network servers and services,network-servers-and-services,materials/course-sequence/network-servers-and-services.md,Networking,MAP-002,topology,Trace Network Path,source-backed draft,source links added
CS-016,Mobile and laptop sequence,Laptops and mobile devices,laptops-and-mobile-devices,materials/course-sequence/laptops-and-mobile-devices.md,Mobile Devices,MAP-004,laptop,Open Laptop Hardware,source-backed draft,source links added
CS-017,Mobile and laptop sequence,Mobile applications,mobile-applications,materials/course-sequence/mobile-applications.md,Mobile Devices,MAP-004,laptop,Open Laptop Hardware,source-backed draft,source links added
CS-018,Mobile and laptop sequence,Laptop hardware,laptop-hardware,materials/course-sequence/laptop-hardware.md,Mobile Devices,MAP-004,laptop,Open Laptop Hardware,source-backed draft,source links added
CS-019,Printer sequence,Printers and MFDs,printers-and-mfds,materials/course-sequence/printers-and-mfds.md,Hardware,MAP-001,drag,Start Connector Match,source-backed draft,source links added
CS-020,Printer sequence,Printer types,printer-types,materials/course-sequence/printer-types.md,Hardware,MAP-001,drag,Start Connector Match,source-backed draft,source links added
CS-021,Troubleshooting sequence,Troubleshooting methodology,troubleshooting-methodology,materials/course-sequence/troubleshooting-methodology.md,Hardware and Networking Troubleshooting,MAP-005,tickets,Open Ticket Board,source-backed draft,source links added
CS-022,Troubleshooting sequence,Troubleshooting hardware issues,troubleshooting-hardware-issues,materials/course-sequence/troubleshooting-hardware-issues.md,Hardware and Networking Troubleshooting,MAP-005,tickets,Open Ticket Board,source-backed draft,source links added
CS-023,Troubleshooting sequence,Troubleshooting storage devices,troubleshooting-storage-devices,materials/course-sequence/troubleshooting-storage-devices.md,Hardware and Networking Troubleshooting,MAP-005,tickets,Open Ticket Board,source-backed draft,source links added
CS-024,Troubleshooting sequence,Troubleshooting video issues,troubleshooting-video-issues,materials/course-sequence/troubleshooting-video-issues.md,Hardware and Networking Troubleshooting,MAP-005,tickets,Open Ticket Board,source-backed draft,source links added
CS-025,Troubleshooting sequence,Troubleshooting networks,troubleshooting-networks,materials/course-sequence/troubleshooting-networks.md,Hardware and Networking Troubleshooting,MAP-005,tickets,Open Ticket Board,source-backed draft,source links added
CS-026,Troubleshooting sequence,Troubleshooting mobile devices,troubleshooting-mobile-devices,materials/course-sequence/troubleshooting-mobile-devices.md,Hardware and Networking Troubleshooting,MAP-005,tickets,Open Ticket Board,source-backed draft,source links added
CS-027,Troubleshooting sequence,Troubleshooting printer devices,troubleshooting-printer-devices,materials/course-sequence/troubleshooting-printer-devices.md,Hardware and Networking Troubleshooting,MAP-005,tickets,Open Ticket Board,source-backed draft,source links added
